ID;name;designation;email;project_ID
c7e4c3a1-22a1-4af6-8e7a-6a2d9efb4120;Alice Johnson;Developer;alice@example.com;c1a9d7b1-3f42-4c12-bd9f-001a7c5f1a01
a1d7fda5-1db2-48de-b2a2-9d72a861c431;Bob Martin;Tester;bob@example.com;c1a9d7b1-3f42-4c12-bd9f-001a7c5f1a01
dc31a8e9-5a7b-46af-b4de-8e7a963fa1b8;Carol Lee;Manager;carol@example.com;b2d4e6f2-8b7a-47f9-a3c1-002b8e9c7b92
e71d9fcb-42a3-4a21-9b5b-1af2e672d451;David Kim;Frontend Developer;david@example.com;b2d4e6f2-8b7a-47f9-a3c1-002b8e9c7b92
f32b7a8c-61a8-441f-b67f-52fd2d46f2b9;Emma Watson;Backend Developer;emma@example.com;e1f3b6c9-9d62-4a2c-8e71-11b7c5f9e6a4
a9d6f2c8-6d48-4c25-83df-18b3c8e7a4f5;Frank Liu;UI Designer;frank@example.com;e1f3b6c9-9d62-4a2c-8e71-11b7c5f9e6a4
d7e2a3b1-3e1a-43af-98cd-2a4d8cf7f911;Grace Patel;QA Engineer;grace@example.com;c8b7a6e5-5f1d-4e9f-8c3a-13e9f2a7b8c4
b4e7c6a2-9e23-48a7-82af-4d8e3d2f1b62;Hannah Smith;Product Owner;hannah@example.com;a1e3b9c5-8f2d-4b9c-9a8d-14f9c3d7b5e6
f6b8d3a2-1e48-4a8a-b17f-4f2c1e8d9b21;Ian Brown;DevOps Engineer;ian@example.com;f9e2d3c4-7b5a-4a8e-9f6c-16b9a3d2f8e1
e3c2b1d9-8a4f-4c9b-b9d4-1b6f7d2a3c45;Julia Davis;Business Analyst;julia@example.com;f7a3b5c6-1d8e-4c7f-b2a9-12d8e9a6b4f2
a2f3e6b8-7d3a-4a9b-8f1c-2d7e9a4c6f1a;Kevin White;Full Stack Developer;kevin@example.com;d4e2f9a7-7c82-4b19-9e54-10a7c3d4e8f1
b9f2d8c6-4e1a-49a9-83b2-2f7d8a3c6e4b;Liam Moore;Tester;liam@example.com;d4e2f9a7-7c82-4b19-9e54-10a7c3d4e8f1
c8f9b3e1-2d4a-4c9b-b7e1-3f6a9c8b2d4a;Mia Chen;Scrum Master;mia@example.com;b5d7e9f1-9a4b-4c2e-8e6c-15c3d8e4b7f9
d5e2b3c7-8f4a-4e1b-9d2e-4a8b7f1c3d9a;Noah Clark;Data Analyst;noah@example.com;b5d7e9f1-9a4b-4c2e-8e6c-15c3d8e4b7f9
e4a7c2f9-1d9b-4b6c-85a1-4b8f3d2e6a9c;Olivia Taylor;Security Engineer;olivia@example.com;f9e2d3c4-7b5a-4a8e-9f6c-16b9a3d2f8e1
f7b2a1d3-6c8e-4d9a-9f3b-5a1e9f7d2b4a;Paul Adams;Mobile Developer;paul@example.com;a3c8f9d3-6e29-4f6c-90d3-003c9a4d8c83
a4d7c2e8-9f1a-4c6b-8a2e-5b7d3f9c2e1a;Quinn Lopez;Tester;quinn@example.com;a3c8f9d3-6e29-4f6c-90d3-003c9a4d8c83
b6f3e1d2-8a4b-4b9a-92d1-6a8e7d3c2f5a;Rachel Green;Project Manager;rachel@example.com;c8b7a6e5-5f1d-4e9f-8c3a-13e9f2a7b8c4
c2e9d3b1-9f8a-4c6e-8a7b-7b6f9d3a2c4e;Sam Wilson;Backend Engineer;sam@example.com;e1f3b6c9-9d62-4a2c-8e71-11b7c5f9e6a4
d1a2f3c4-7e8b-4a9b-9f5d-8c7a2e6f1b3a;Tina Evans;Support Engineer;tina@example.com;f7a3b5c6-1d8e-4c7f-b2a9-12d8e9a6b4f2
